X,Y
1651,22632.598
1652,22630.068
1653,22632.902
1654,22630.420
1655,22630.041
1656,22633.238
1657,22631.475
1658,22632.059
1659,22634.088
1660,22631.605
1661,22630.334
1662,22631.506
1663,22632.373
1664,22631.291
1665,22634.934
1666,22632.424
1667,22630.311
1668,22632.494
1669,22632.480
1670,22630.490
1671,22634.873
1672,22632.043
1673,22631.391
1674,22634.270
1675,22632.139
1676,22631.004
1677,22633.010
1678,22632.115
1679,22631.277
1680,22633.172
1681,22633.076
1682,22630.756
1683,22632.920
1684,22631.332
1685,22630.402
1686,22633.209
1687,22632.516
1688,22631.262
1689,22632.811
1690,22631.820
1691,22630.510
1692,22631.666
1693,22630.049
1694,22629.414
1695,22633.035
1696,22633.842
1697,22630.154
1698,22632.352
1699,22632.629
1700,22630.369
1701,22632.572
1702,22632.301
1703,22631.215
1704,22633.309
1705,22632.770
1706,22630.986
1707,22632.639
1708,22633.066
1709,22645.227
1710,22646.729
1711,22647.049
1712,22644.936
1713,22645.184
1714,22638.721
1715,22630.912
1716,22633.793
1717,22632.953
1718,22630.088
1719,22633.316
1720,22632.416
1721,22631.406
1722,22632.061
1723,22631.115
1724,22629.021
1725,22630.443
1726,22632.256
1727,22630.908
1728,22631.703
1729,22632.496
1730,22631.145
1731,22632.072
1732,22632.371
1733,22632.420
1734,22632.840
1735,22632.320
1736,22630.781
1737,22632.291
1738,22631.895
1739,22630.789
1740,22631.098
1741,22632.020
1742,22630.180
1743,22631.055
1744,22630.637
1745,22630.801
1746,22632.107
1747,22647.354
1748,22706.328
1749,22707.336
1750,22707.646
1751,22706.424
1752,22707.348
1753,22707.725
1754,22705.691
1755,22705.062
1756,22706.355
1757,22706.357
1758,22706.688
1759,22708.449
1760,22706.305
1761,22707.066
1762,22707.424
1763,22706.609
1764,22707.557
1765,22707.959
1766,22707.971
1767,22706.527
1768,22707.088
1769,22706.238
1770,22714.074
1771,22715.734
1772,22705.799
1773,22706.029
1774,22705.438
1775,22706.078
1776,22706.342
1777,22706.637
1778,22705.723
1779,22706.373
1780,22706.553
1781,22705.834
1782,22706.623
1783,22706.631
1784,22706.258
1785,22705.430
1786,22705.641
1787,22705.400
1788,22706.430
1789,22707.482
1790,22706.393
1791,22706.180
1792,22707.777
1793,22706.336
1794,22706.943
1795,22707.322
1796,22706.494
1797,22706.629
1798,22706.980
1799,22707.010
1800,22706.377
1801,22707.348
1802,22706.373
1803,22706.211
1804,22706.268
1805,22708.672
1806,22707.314
1807,22708.211
1808,22706.828
1809,22709.537
1810,22707.672
1811,22707.895
1812,22708.066
1813,22709.234
1814,22708.012
1815,22706.832
1816,22707.230
1817,22705.994
1818,22705.723
1819,22707.896
1820,22707.756
1821,22708.246
1822,22720.701
1823,22718.578
1824,22717.785
1825,22718.146
1826,22720.777
1827,22720.676
1828,22721.627
1829,22720.875
1830,22719.594
1831,22719.672
1832,22722.365
1833,22722.529
1834,22723.064
1835,22721.842
1836,22719.830
1837,22720.623
1838,22722.984
1839,22722.799
1840,22723.559
1841,22724.021
1842,22713.584
1843,22707.580
1844,22707.260
1845,22705.725
1846,22708.061
1847,22709.549
1848,22704.891
1849,22706.703
1850,22707.805
1851,22705.770
1852,22707.670
1853,22708.701
1854,22708.131
1855,22708.199
1856,22707.400
1857,22706.330
1858,22708.887
1859,22707.504
1860,22706.318
1861,22708.688
1862,22707.057
1863,22705.367
1864,22705.186
1865,22706.789
1866,22704.986
1867,22706.596
1868,22706.246
1869,22705.322
1870,22706.273
1871,22706.471
